Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source
High Risk,Georgetown,5800 4th Ave S,1938,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review
Medium Risk,Georgetown,5813 Airport Way S,1905,2,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Georgetown,6107 13th Ave S,1940,1,No visible retrofit,Industrial,11-100,Google Street View
Medium Risk,Georgetown,6111 13th Ave S,1929,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Georgetown,6124 12th Ave S,1922,1,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Georgetown,6200 13th Ave S,1909,2,Visible retrofit,Commercial,11-100,White Card Permit Records
Medium Risk,Georgetown,6285 Airport Way S,1905,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Green Lake,5201 Green Lake Way N,0,1,No visible retrofit,Government,1-10,Field Visit
High Risk,Green Lake,2253 N 56th St,1928,1,No visible retrofit,Public Assembly,101+,Google Street View
High Risk,Green Lake,7312 West Green Lake Dr N,1927,1,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Green Lake,8061 Densmore Ave N,1929,1,Permitted Retrofit,Government,11-100,Google Street View
Medium Risk,Green Lake,307 NE Maple Leaf Pl,1922,2,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Green Lake,316 NE 72nd St,1930,2,No visible retrofit,Commercial/Residential,11-100,Permit Drawing Review
Medium Risk,Green Lake,410 NE 72nd St,1923,1,No visible retrofit,Commercial,1-10,Field Visit
High Risk,Green Lake,7364 East Green Lake Dr N,1910,2,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review
Medium Risk,Green Lake,6315 Roosevelt Way NE,1940,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Green Lake,6403 Roosevelt Way NE,1929,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Green Lake,6423 Latona Ave NE,1907,2,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Green Lake,7200 East Green Lake Dr N,1927,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Green Lake,7200 Woodlawn Ave NE,1912,2,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Green Lake,7203 Woodlawn Ave NE,1921,1,No visible retrofit,Commercial,11-100,White Card Permit Records
High Risk,Green Lake,7220 Woodlawn Ave NE,1921,2,Permitted Retrofit,Public Assembly,101+,Google Street View
Medium Risk,Green Lake,7301 Roosevelt Way NE,1931,1,No visible retrofit,Commercial,11-100,Google Street View
High Risk,Green Lake,7400 Woodlawn Ave NE,1918,2,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Green Lake,7706 Aurora Ave N,1930,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Green Lake,7918 Aurora Ave N,1929,1,No visible retrofit,Commercial,11-100,Permit Drawing Review
Critical Risk,Green Lake,520 NE Ravenna Blvd,1927,3,Permitted Retrofit,Schools,101+,Permit Drawing Review
Critical Risk,Green Lake,7901 Stone Ave N,1913,2,No visible retrofit,Schools,101+,Google Street View
Critical Risk,Greenwood/Phinney Ridge,120 N 79th St,1922,3,Permitted Retrofit,Schools,101+,Permit Drawing Review
High Risk,Greenwood/Phinney Ridge,121 N 80th St,1931,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review
Critical Risk,Greenwood/Phinney Ridge,144 NW 80th St,1908,3,Permitted Retrofit,Schools,101+,Photos from Previous Surveys
Medium Risk,Greenwood/Phinney Ridge,213 N 85th St,1919,3,No visible retrofit,Commercial/Residential,11-100,Photos from Previous Surveys
Medium Risk,Greenwood/Phinney Ridge,517 NW 65th St,1922,1,No visible retrofit,Commercial,1-10,Google Street View
Medium Risk,Greenwood/Phinney Ridge,5705 Phinney Ave N,1930,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Greenwood/Phinney Ridge,6001 Phinney Ave N,1920,1,No visible retrofit,Office,11-100,Google Street View
High Risk,Greenwood/Phinney Ridge,6615 Dayton Ave N,1917,3,Permitted Retrofit,Public Assembly,101+,Google Street View
Medium Risk,Greenwood/Phinney Ridge,7219 Greenwood Ave N,1926,2,Substantial Alteration,Commercial,11-100,Permit Drawing Review
Medium Risk,Greenwood/Phinney Ridge,7223 Aurora Ave N,1926,1,No visible retrofit,Commercial,1-10,Google Street View
Medium Risk,Greenwood/Phinney Ridge,7401 Aurora Ave N,1927,2,No visible retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Greenwood/Phinney Ridge,7411 Aurora Ave N,1923,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Greenwood/Phinney Ridge,7413 Greenwood Ave N,1925,1,No visible retrofit,Commercial,101+,Sandborn Insurance Maps
Medium Risk,Greenwood/Phinney Ridge,7503 Aurora Ave N,1929,2,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Greenwood/Phinney Ridge,7601 Greenwood Ave N,1928,1,No visible retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,Greenwood/Phinney Ridge,7613 Greenwood Ave N,1928,1,No visible retrofit,Commercial,1-10,Photos from Previous Surveys
Medium Risk,Greenwood/Phinney Ridge,7619 6th Ave NW,1927,1,No visible retrofit,Office,1-10,Sandborn Insurance Maps
Medium Risk,Greenwood/Phinney Ridge,7700 6th Ave NW,1928,1,No visible retrofit,Commercial,11-100,Google Street View
High Risk,Greenwood/Phinney Ridge,7800 Greenwood Ave N,1922,2,No visible retrofit,Public Assembly,101+,Field Visit
Medium Risk,Greenwood/Phinney Ridge,7900 1st Ave NW,1931,2,Substantial Alteration,Residential,11-100,History Link
Medium Risk,Greenwood/Phinney Ridge,8408 Greenwood Ave N,1927,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps
Medium Risk,Greenwood/Phinney Ridge,8410 Greenwood Ave N,1927,1,No visible retrofit,Commercial,11-100,Permit Drawing Review
Medium Risk,Greenwood/Phinney Ridge,8417 Greenwood Ave N,1945,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Greenwood/Phinney Ridge,8500 Greenwood Ave N,1928,2,No visible retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Greenwood/Phinney Ridge,8516 Greenwood Ave N,1925,1,No visible retrofit,Commercial,101+,Field Visit
Medium Risk,Greenwood/Phinney Ridge,8537 Greenwood Ave N,1926,2,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Greenwood/Phinney Ridge,8550 Greenwood Ave N,1928,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Greenwood/Phinney Ridge,8558 Greenwood Ave N,1928,1,No visible retrofit,Commercial,101+,Field Visit
High Risk,Greenwood/Phinney Ridge,8580 Greenwood Ave N,1928,1,No visible retrofit,Public Assembly,101+,Field Visit
Medium Risk,Highland Park,1100 SW Cloverdale St,1938,1,No visible retrofit,Government,1-10,Permit Drawing Review
Medium Risk,Interbay,1038 Elliott Ave W,1925,2,No visible retrofit,Industrial,1-10,Field Visit
Medium Risk,Interbay,1461 Elliott Ave W,1937,2,Permitted Retrofit,Commercial,11-100,Google Street View
Medium Risk,Interbay,3202 15th Ave W,1921,1,No visible retrofit,Commercial,11-100,Permit Drawing Review
Medium Risk,Interbay,3208 15th Ave W,1926,1,No visible retrofit,Commercial,1-10,Permit Drawing Review
Medium Risk,Interbay,904 Elliott Ave W,1931,2,No visible retrofit,Commercial,11-100,Permit Drawing Review
High Risk,Judkins Park,104 17th Ave S,1913,3,Permitted Retrofit,Public Assembly,101+,Google Street View
Medium Risk,Judkins Park,109 18th Ave S,1911,1,No visible retrofit,Commercial,1-10,Google Street View
Critical Risk,Judkins Park,1902 S Main St,1920,1,Visible retrofit,Schools,11-100,Google Street View
Medium Risk,Judkins Park,1300 S Dearborn St,1932,1,Visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Judkins Park,1419 S Jackson St,1925,2,Permitted Retrofit,Commercial/Residential,11-100,Google Street View
High Risk,Judkins Park,1427 S Main St,1947,1,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,Judkins Park,1432 S Jackson St,1925,1,No visible retrofit,Industrial,1-10,Google Street View
Medium Risk,Judkins Park,1713 E Yesler Way,1912,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Judkins Park,1723 S Jackson St,1924,1,No visible retrofit,Office,11-100,Google Street View
Medium Risk,Judkins Park,2000 S Jackson St,1914,1,No visible retrofit,Commercial,11-100,Google Street View
High Risk,Judkins Park,604 20th Ave S,1911,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review
Critical Risk,Judkins Park,620 20th Ave S,1922,2,Permitted Retrofit,Schools,101+,Permit Drawing Review
Medium Risk,Judkins Park,624 Rainier Ave S,1923,2,No visible retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,Laurelhurst/Sand Point,6305 NE 74th St,1936,2,No visible retrofit,Government,1-10,Previous Seismic Reports
Medium Risk,Laurelhurst/Sand Point,6327 NE 74th St,1939,1,No visible retrofit,Government,1-10,Previous Seismic Reports
Medium Risk,Laurelhurst/Sand Point,7101 62nd Ave NE,1929,3,Substantial Alteration,Residential,101+,Department of Neighborhoods
Medium Risk,Laurelhurst/Sand Point,7727 63rd Ave NE,1929,2,No visible retrofit,Government,11-100,Department of Neighborhoods
Medium Risk,Laurelhurst/Sand Point,7737 62nd Ave NE,1930,1,No visible retrofit,Government,1-10,Department of Neighborhoods
Medium Risk,Laurelhurst/Sand Point,7777 62nd Ave NE,1938,1,Substantial Alteration,Commercial,11-100,Previous Seismic Reports
Critical Risk,Laurelhurst/Sand Point,6200 NE 74th St,1937,3,Permitted Retrofit,Schools,101+,Permit Drawing Review
Medium Risk,Laurelhurst/Sand Point,6222 NE 74th St,1937,3,Substantial Alteration,Office,101+,Permit Drawing Review
Medium Risk,Laurelhurst/Sand Point,7561 63rd Ave NE,1929,2,Visible retrofit,Government,11-100,Department of Neighborhoods
Critical Risk,Laurelhurst/Sand Point,4530 46th Ave NE,1950,2,Permitted Retrofit,Schools,101+,Permit Drawing Review
Medium Risk,Licton Springs,10325 Aurora Ave N,1931,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Licton Springs,10326 Aurora Ave N,1928,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Licton Springs,10333 Aurora Ave N,1926,1,Visible retrofit,Commercial,101+,Google Street View
Medium Risk,Licton Springs,9710 Aurora Ave N,1948,1,Visible retrofit,Commercial,11-100,Google Street View-Rosettes
High Risk,Madison Park,1642 43rd Ave E,1910,2,No visible retrofit,Public Assembly,101+,Google Street View
Critical Risk,Madison Park,408 Lake Washington Blvd E,1915,3,No visible retrofit,Schools,101+,Google Street View
Medium Risk,Madison Park,4130 E Madison St,1928,1,Visible retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Madison Park,4218 E Madison St,1919,1,No visible retrofit,Public Assembly,11-100,Field Visit
Medium Risk,Madison Park,4230 E Madison St,1919,1,No visible retrofit,Commercial,11-100,Field Visit
Critical Risk,Madison Park,1617 38th Ave E,1913,3,Permitted Retrofit,Schools,101+,Field Visit
Medium Risk,Madrona/Leschi,1408 34th Ave,1924,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Madrona/Leschi,800 Lake Washington Blvd,1922,1,Visible retrofit,Public Assembly,11-100,Photos from Previous Surveys
Medium Risk,Madrona/Leschi,2513 S Jackson St,1924,1,No visible retrofit,Commercial,11-100,Field Visit
Critical Risk,Madrona/Leschi,2712 S Jackson St,1926,1,No visible retrofit,Schools,101+,Google Street View
Medium Risk,Madrona/Leschi,2713 S Jackson St,1907,2,Permitted Retrofit,Commercial,11-100,Google Street View
High Risk,Madrona/Leschi,2801 S Jackson St,1932,2,No visible retrofit,Public Assembly,101+,Google Street View
High Risk,Madrona/Leschi,3201 E Republican St,1913,1,Permitted Retrofit,Public Assembly,101+,Sandborn Insurance Maps
Medium Risk,Madrona/Leschi,917 34th Ave,0,1,No visible retrofit,Government,1-10,Google Street View
Medium Risk,Madrona/Leschi,3309 E Union St,1929,1,No visible retrofit,Commercial,1-10,Google Street View
Medium Risk,Madrona/Leschi,1134 33rd Ave,1919,1,Substantial Alteration,Government,11-100,Google Street View
Critical Risk,Madrona/Leschi,924 35th Ave,1900,1,Permitted Retrofit,Schools,101+,Google Street View
Critical Risk,Magnolia,2418 28th Ave W,1927,2,Substantial Alteration,Schools,101+,Google Street View
Medium Risk,Miller Park,1000 Turner Way E,1910,1,No visible retrofit,Office,11-100,Google Street View
Medium Risk,Miller Park,128 16th Ave E,1906,2,No visible retrofit,Office,11-100,Sandborn Insurance Maps
Medium Risk,Miller Park,1608 E Republican St,1922,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Miller Park,1619 E John St,1927,5,Permitted Retrofit,Residential,11-100,Google Street View
Medium Risk,Miller Park,1914 E Mercer St,1912,2,No visible retrofit,Residential,11-100,Google Street View
High Risk,Miller Park,1919 E Prospect St,1924,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review
Medium Risk,Miller Park,317 18th Ave E,1916,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Miller Park,400 15th Ave E,1920,2,Visible retrofit,Office,11-100,Photos from Previous Surveys
Medium Risk,Miller Park,620 19th Ave E,1907,2,No visible retrofit,Residential,11-100,Google Street View
Critical Risk,Miller Park,728 21st Ave E,1908,4,Permitted Retrofit,Schools,101+,Permit Drawing Review
High Risk,Miller Park,732 18th Ave E,1923,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review
Critical Risk,Montlake/Portage Bay,1617 Interlaken Dr E,1911,4,Permitted Retrofit,Schools,101+,Photos from Previous Surveys
Medium Risk,Montlake/Portage Bay,2305 24th Ave E,1922,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Montlake/Portage Bay,2351 10th Ave E,1930,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Montlake/Portage Bay,2409 10th Ave E,1921,1,No visible retrofit,Commercial,11-100,Google Street View
Critical Risk,Montlake/Portage Bay,2515 Boylston Ave E,1917,3,Permitted Retrofit,Schools,101+,Field Visit
Medium Risk,Mt. Baker/North Rainier,1400 31st Ave S,1931,1,No visible retrofit,Commercial,11-100,Field Visit
High Risk,Mt. Baker/North Rainier,1501 32nd Ave S,1947,1,No visible retrofit,Public Assembly,101+,Sandborn Insurance Maps
Medium Risk,Mt. Baker/North Rainier,2300 S Massachusetts St,1900,3,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review
Critical Risk,Mt. Baker/North Rainier,3201 Hunter Blvd S,1924,2,No visible retrofit,Schools,101+,Google Street View
Critical Risk,Mt. Baker/North Rainier,3013 S Mt Baker Blvd,1912,4,Permitted Retrofit,Schools,101+,Permit Drawing Review
Medium Risk,North Beacon Hill/Jefferson Park,1407 S Dearborn St,1921,1,No visible retrofit,Office,1-10,Photos from Previous Surveys
Medium Risk,North Beacon Hill/Jefferson Park,1501 S Dearborn St,1920,1,Permitted Retrofit,Commercial,1-10,Photos from Previous Surveys
Medium Risk,North Beacon Hill/Jefferson Park,1811 Rainier Ave S,1928,1,No visible retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,North Beacon Hill/Jefferson Park,2507 Beacon Ave S,1928,1,No visible retrofit,Commercial,11-100,Permit Drawing Review
Medium Risk,North Beacon Hill/Jefferson Park,2541 15th Ave S,1929,2,No visible retrofit,Residential,11-100,Field Visit
High Risk,North Beacon Hill/Jefferson Park,2801 15th Ave S,1931,2,No visible retrofit,Public Assembly,101+,Google Street View
Medium Risk,North Beacon Hill/Jefferson Park,800 Rainier Ave S,1925,1,No visible retrofit,Commercial,1-10,Sandborn Insurance Maps
Medium Risk,North Capitol Hill,1112 Broadway E,1922,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,North Capitol Hill,1132 10th Ave E,1917,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys
High Risk,North Capitol Hill,1400 E Prospect St,1906,4,No visible retrofit,Government,1-10,Field Visit
Medium Risk,North Capitol Hill,1508 10th Ave E,1923,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,North Capitol Hill,614 Broadway E,1927,1,No visible retrofit,Commercial,11-100,Field Visit
High Risk,North Capitol Hill,618 Broadway E,1921,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review
Critical Risk,North Capitol Hill,1058 E Mercer St,1919,3,Permitted Retrofit,Schools,101+,Google Street View
Critical Risk,North Capitol Hill,710 E Roy St,1921,3,Permitted Retrofit,Schools,101+,Sandborn Insurance Maps
Medium Risk,North Capitol Hill,921 11th Ave E,1922,4,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,North Capitol Hill,933 11th Ave E,1924,4,Permitted Retrofit,Residential,11-100,Google Street View
Medium Risk,North Delridge,1128 SW Spokane St,1926,2,No visible retrofit,Industrial,11-100,Google Street View
High Risk,North Delridge,4408 Delridge Way SW,1917,4,Substantial Alteration,Residential,11-100,Google Street View
Medium Risk,North Delridge,3214 SW Spokane St,1926,1,No visible retrofit,Government,1-10,Google Street View
Medium Risk,Northgate/Maple Leaf,1020 NE 82nd St,0,1,No visible retrofit,Government,1-10,
Medium Risk,Northgate/Maple Leaf,8511 15th Ave NE,1928,2,No visible retrofit,Vacant,,Permit Drawing Review
Medium Risk,Northgate/Maple Leaf,1200 NE 82nd St,1910,1,Permitted Retrofit,Government,1-10,Permit Drawing Review
Medium Risk,Northgate/Maple Leaf,9412 Roosevelt Way NE,1928,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Olympic Hills/Victory Heights,2611 NE 125th St,1931,2,No visible retrofit,Office,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,1 Yesler Way,1911,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View
High Risk,Pioneer Square/Chinatown International District,100 6th Ave S,1903,5,Visible retrofit,Residential,11-100,Photos from Previous Surveys
Medium Risk,Pioneer Square/Chinatown International District,1001 S Jackson St,1915,1,Permitted Retrofit,Commercial,11-100,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,1005 S King St,1914,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,1019 S Jackson St,1932,2,No visible retrofit,Commercial/Office,11-100,Permit Drawing Review
Medium Risk,Pioneer Square/Chinatown International District,102 Occidental Ave S,1900,6,No visible retrofit,Commercial/Office,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,104 1st Ave S,1902,4,Visible retrofit,Commercial/Office,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,1041 S King St,1911,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,1043 S Jackson St,1921,1,No visible retrofit,Commercial,11-100,Permit Drawing Review
High Risk,Pioneer Square/Chinatown International District,105 1st Ave S,1900,4,No visible retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,107 Occidental Ave S,1900,1,Visible retrofit,Commercial,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,108 S Washington St,1900,4,No visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,109 Yesler Way,1890,3,Permitted Retrofit,Commercial,11-100,Field Visit
High Risk,Pioneer Square/Chinatown International District,111 1st Ave S,1900,6,Permitted Retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,111 Yesler Way,1890,3,Visible retrofit,Commercial,11-100,Google Street View-Rosettes
Medium Risk,Pioneer Square/Chinatown International District,112 1st Ave S,1906,3,Visible retrofit,Commercial/Office,11-100,Field Visit
High Risk,Pioneer Square/Chinatown International District,114 Alaskan Way S,1902,6,Visible retrofit,Other Mixed Uses,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,115 Occidental Ave S,1900,1,Visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,116 S Washington St,1900,2,Visible retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,117 S Main St,1902,4,Visible retrofit,Office,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,118 S Washington St,1900,2,Permitted Retrofit,Commercial/Office,11-100,Google Street View
High Risk,Pioneer Square/Chinatown International District,119 1st Ave S,1900,6,Visible retrofit,Office,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,122 S Jackson St,1900,3,Visible retrofit,Commercial,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,124 S Washington St,1900,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review
High Risk,Pioneer Square/Chinatown International District,164 S Washington St,1900,1,Permitted Retrofit,Public Assembly,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,173 S Washington St,1900,1,Substantial Alteration,Commercial,11-100,Field Visit
High Risk,Pioneer Square/Chinatown International District,200 5th Ave S,1910,5,Permitted Retrofit,Residential,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,201 1st Ave S,1900,3,Permitted Retrofit,Commercial/Office,11-100,Field Visit
High Risk,Pioneer Square/Chinatown International District,201 S Washington St,1905,2,Substantial Alteration,Public Assembly,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,202 1st Ave S,1909,3,Substantial Alteration,Public Assembly,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,204 3rd Ave S,1905,4,Visible retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,205 3rd Ave S,1890,4,Permitted Retrofit,Office,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,206 1st Ave S,1903,5,Substantial Alteration,Commercial/Office,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,206 3rd Ave S,1904,4,Visible retrofit,Office,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,207 1st Ave S,1900,3,Permitted Retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,207 2nd Ave S,1900,1,Permitted Retrofit,Commercial,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,209 1st Ave S,1900,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,210 3rd Ave S,1904,5,Permitted Retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,211 1st Ave S,1900,3,Permitted Retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,211 S Washington St,1936,2,Visible retrofit,Office,11-100,Google Street View
High Risk,Pioneer Square/Chinatown International District,212 Alaskan Way S,1914,5,Substantial Alteration,Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,213 1st Ave S,1900,3,Visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,213 S Main St,1900,1,No visible retrofit,Vacant,11-100,Field Visit
High Risk,Pioneer Square/Chinatown International District,216 1st Ave S,1900,4,Visible retrofit,Commercial/Office,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,217 2nd Ave S,1900,4,Visible retrofit,Commercial/Residential,11-100,Field Visit
High Risk,Pioneer Square/Chinatown International District,219 1st Ave S,1900,4,Visible retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,219 S Washington St,1900,3,Substantial Alteration,Commercial/Residential,11-100,Google Street View
High Risk,Pioneer Square/Chinatown International District,220 2nd Ave S,1900,5,Substantial Alteration,Commercial/Office,11-100,Field Visit
High Risk,Pioneer Square/Chinatown International District,220 3rd Ave S,1905,2,Substantial Alteration,Public Assembly,101+,Sandborn Insurance Maps
High Risk,Pioneer Square/Chinatown International District,222 2nd Av Et S,1906,4,Permitted Retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,301 1st Ave S,1900,3,Permitted Retrofit,Other Mixed Uses,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,301 Occidental Ave S,1902,4,Permitted Retrofit,Commercial/Office,101+,Permit Drawing Review
Medium Risk,Pioneer Square/Chinatown International District,303 12th Ave S,1920,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,304 Alaskan Way S,1900,3,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,306 6th Ave S,1914,7,Permitted Retrofit,Other Mixed Uses,101+,Google Street View
High Risk,Pioneer Square/Chinatown International District,307 3rd Ave S,1906,5,Permitted Retrofit,Commercial/Office,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,308 Occidental Ave S,1908,5,Permitted Retrofit,Commercial/Office,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,310 1st Ave S,1900,4,Permitted Retrofit,Commercial/Office,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,311 1st Ave S,1900,3,Visible retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,311 6th Ave S,1926,2,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,311 Occidental Ave S,1900,3,No visible retrofit,Commercial/Office,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,312 1st Ave S,1900,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,312 2nd Ave S,1900,3,Substantial Alteration,Other Mixed Uses,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,313 1st Ave S,1900,4,Visible retrofit,Commercial/Office,11-100,Field Visit
High Risk,Pioneer Square/Chinatown International District,313 2nd Av Et S,1905,4,Substantial Alteration,Office,101+,Permit Drawing Review
Medium Risk,Pioneer Square/Chinatown International District,315 2nd Ave S,1900,3,Substantial Alteration,Commercial/Office,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,315 3rd Ave S,1902,4,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,315 Maynard Ave S,1910,4,No visible retrofit,Residential,101+,Google Street View
High Risk,Pioneer Square/Chinatown International District,316 1st Ave S,1905,7,Visible retrofit,Other Mixed Uses,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,316 Occidental Ave S,1900,5,Permitted Retrofit,Commercial/Office,101+,Field Visit
High Risk,Pioneer Square/Chinatown International District,318 2nd Av Et S,1904,6,Permitted Retrofit,Residential,101+,Google Street View
High Risk,Pioneer Square/Chinatown International District,319 2nd Ave S,1889,3,Permitted Retrofit,Public Assembly,101+,Google Street View
Medium Risk,Pioneer Square/Chinatown International District,320 2nd Ave S,1900,1,Visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,322 1st Ave S,1900,3,No visible retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,400 2nd Av Et S,1900,3,Permitted Retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,400 Maynard Ave S,1916,3,Visible retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,406 2nd Av Et S,0,1,Substantial Alteration,Office,1-10,Photos from Previous Surveys
High Risk,Pioneer Square/Chinatown International District,410 2nd Av Et S,1900,3,Substantial Alteration,Public Assembly,101+,Photos from Previous Surveys
Medium Risk,Pioneer Square/Chinatown International District,410 8th Ave S,1901,3,No visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,411 2nd Av Et S,1900,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Pioneer Square/Chinatown International District,413 7th Ave S,1915,1,Visible retrofit,Commercial,11-100,Field Visit
